pokemonId,latitude,longitude
16,48.603352,7.740607
54,48.581456,7.740822
16,48.603133,7.740353
16,48.580903,7.743194
48,48.743065,2.403622
79,48.582262,7.755703
16,48.58266,7.739308
19,48.602483,7.741826
19,48.60323,7.740088
21,48.585314,7.746636
16,48.583659,7.747833
39,48.748664,2.402432
19,48.599881,7.744221
118,48.584399,7.741531
19,48.585507,7.747272
66,48.749069,2.40562
16,48.582821,7.739255
120,48.584368,7.75599
21,48.583401,7.743491
16,48.603565,7.744454
16,48.58514,7.741055
19,48.581393,7.74993
129,48.581128,7.742188
116,48.581367,7.752641
19,48.603855,7.743659
19,48.583504,7.741966
19,48.581734,7.742548
16,48.746927,2.402898
20,48.581084,7.747515
19,48.584863,7.746319
19,48.583027,7.73737
19,48.747219,2.403974
13,48.746191,2.400558
77,48.743747,2.404819
16,48.582095,7.753521
19,48.58467,7.748013
13,48.741613,2.405514
48,48.743251,2.402237
118,48.743831,2.404563
79,48.579563,7.738556
10,48.742886,2.400892
16,48.583891,7.744402
16,48.585501,7.756689
16,48.581361,7.752737
16,48.581348,7.747102
19,48.582577,7.740547
96,48.584979,7.756255
118,48.580349,7.743237
16,48.742799,2.405089
118,48.584149,7.755735
148,48.581122,7.742284
19,48.585147,7.756106
16,48.58458,7.754009
